sn,project_name,street_name,type,postal_district,market_segment,tenure,number_of_units,total_price,area_sq,type_of_area,floor_level,ppsf,date_of_sale
154,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6390475,2497,Strata,06 to 10,2559,Oct-14
155,ORION,ORANGE GROVE ROAD,Apartment,10,CCR,Freehold,1,3300000,1507,Strata,11 to 15,2190,Oct-14
156,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4600000,2185,Strata,01 to 05,2105,Oct-14
157,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,1664000,689,Strata,01 to 05,2415,Oct-14
158,RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,776888,377,Strata,01 to 05,2062,Oct-14
159,CORONA VILLE,JALAN HAJI ALIAS,Condominium,10,CCR,Freehold,1,1968000,1528,Strata,01 to 05,1288,Oct-14
160,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2635510,1539,Strata,31 to 35,1712,Oct-14
161,M5,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,843000,441,Strata,01 to 05,1910,Oct-14
162,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3444000,1851,Strata,01 to 05,1860,Oct-14
163,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,3158400,1787,Strata,11 to 15,1768,Oct-14
164,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1620000,1001,Strata,01 to 05,1618,Oct-14
165,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,1913142,775,Strata,06 to 10,2469,Oct-14
166,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1396000,689,Strata,01 to 05,2026,Oct-14
167,LUSH ON HOLLAND HILL,HOLLAND HILL,Condominium,10,CCR,Freehold,1,2618000,1561,Strata,06 to 10,1677,Oct-14
168,HOLT RESIDENCES,HOLT ROAD,Apartment,10,CCR,Freehold,1,3400000,2067,Strata,06 to 10,1645,Oct-14
169,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2460000,1711,Strata,01 to 05,1437,Oct-14
170,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2870190,1744,Strata,31 to 35,1646,Oct-14
171,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1923000,969,Strata,01 to 05,1985,Oct-14
172,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,1264230,538,Strata,01 to 05,2349,Oct-14
173,HOLLAND RESIDENCES,TAMAN WARNA,Condominium,10,CCR,Freehold,1,2080000,1733,Strata,01 to 05,1200,Oct-14
174,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,2004000,829,Strata,01 to 05,2418,Oct-14
175,THE HERMITAGE,SARKIES ROAD,Apartment,10,CCR,Freehold,1,1450000,818,Strata,06 to 10,1772,Oct-14
